NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
B0559-57,mlt+78 ,0.4422108838,6,nmc81 ,-0.27,-0.48,8.53,1978,0.64,
B0559-05,mlt+78 ,2.525449143310,3,hlk+04 ,-0.54,-1.21,10.42,1978,123.24,14.12
J0605+37,rap+12 ,366.300366,0,rap+12 ,0.02,0.02,8.69,2012,,
J0608+00,dsm+13 ,0.929195,0,dsm+13 ,-0.21,-0.59,9.63,2013,,
J0609+2130,lxf+05 ,17.953961540991,7,lxf+05 ,0.01,-0.09,9.06,2005,0.26,
J0610-2100,bjd+06 ,258.97847929928,5,bjd+06 ,-1.02,-2.29,10.58,2006,,4.25
J0610+37,slr+14 ,2.25296,8,slr+14 ,0.16,0.09,9.55,2014,1.49,
J0611+04,dsm+16 ,0.597218,0,dsm+16 ,-0.20,-0.69,10.00,2016,,
J0611+1436,lsb+17 ,3.6991898342,5,lsb+17 ,-0.03,-0.24,9.36,2017,,0.87
J0611+30,cnst96 ,0.7081702,16,cnst96 ,0.10,-0.03,9.57,1996,1.63,
B0609+37,stwd85 ,3.3559037259175,20,hlk+04 ,0.08,0.04,9.02,1985,4.49,1.12
J0613-0200,lnl+95 ,326.6005670509927,9,abb+18 ,-0.13,-0.39,9.16,1995,12.78,1.40
J0613+3731,cvh+14 ,1.61499182415,16,cvh+14 ,0.03,0.02,8.69,2014,0.06,0.00
B0611+22,dls72 ,2.9854313983,14,hlk+04 ,0.07,-0.27,10.22,1972,87.80,9.99
J0614-3329,rrc+11 ,317.5944552995,9,rrc+11 ,-0.23,-0.51,8.79,2011,,
J0614+83,slr+14 ,0.96228,5,slr+14 ,1.59,2.51,10.63,2014,25.45,
J0621+0336,bkl+13 ,3.704333874448,13,bkl+13 ,-0.15,-0.75,10.02,2013,,2.89
J0621+1002,cnst96 ,34.6574066214041,20,dcl+16 ,-0.01,-0.15,8.89,1996,,0.34
J0621+25,rap+12 ,367.647059,0,rap+12 ,0.14,-0.21,10.12,2012,,
J0621-55,kbj+18 ,,0,,-0.17,-0.34,8.53,2018,,
J0622+3749,pga+12 ,3.00112633651,5,pga+12 ,0.00,0.00,8.50,2012,,
J0623+0340,bkl+13 ,1.629302417370,19,bkl+13 ,-0.11,-0.61,9.73,2013,,0.51
B0621-04,mlt+78 ,0.9623930704244,13,hlk+04 ,-0.27,-1.07,10.10,1978,18.44,5.27
J0625+10,cnst96 ,2.006433,13,cnst96 ,-0.03,-0.58,10.03,1996,,0.23
J0627+0649,bkl+13 ,2.88581493632,11,bkl+13 ,-0.07,-0.73,10.13,2013,,6.06
J0627+0706,cha03 ,2.1013960823,5,bfrs18 ,-0.08,-0.93,10.59,2003,31.46,7.29
J0627+16,dcm+09 ,0.458716,0,dcm+09 ,0.07,-0.52,10.36,2009,,
J0628+0909,cfl+06 ,0.8055282493188,20,nab+13 ,-0.03,-0.67,10.14,2006,,0.18
B0626+24,dth78 ,2.098095022707,15,hlk+04 ,0.18,-0.25,10.14,1978,86.46,8.92
J0630-0046,bkl+13 ,1.469346135924,16,bkl+13 ,-0.18,-1.08,10.29,2013,,1.81
